gempermid,holddate,shareshldadj,shareshld,pctshouthld,shshldchg,comname,name,activity,close_
8589953907,2007-02-15T00:00:00Z,288e3,288e3,4.65,-74e3,Okada Aiyon Ord Shs,Tower Investment Management,sell,635
8589954309,2006-06-30T00:00:00Z,740966.4,428800,1.74,428800,Oiles Ord Shs,Taiyo Fund Management,buy,1354.16666667
8589955386,2007-03-13T00:00:00Z,3834800,3834800,5.01,3834800,LINTEC Ord Shs,Taiyo Fund Management,buy,2105
8589955386,2007-03-14T00:00:00Z,3905e3,3905e3,5.1,70200,LINTEC Ord Shs,Taiyo Fund Management,buy,2095
8589955386,2007-08-10T00:00:00Z,4621300,4621300,6.04,716300,LINTEC Ord Shs,Taiyo Fund Management,buy,2250
8589955386,2007-11-14T00:00:00Z,5470400,5470400,7.14,849100,LINTEC Ord Shs,Taiyo Fund Management,buy,1769
8589955386,2008-06-04T00:00:00Z,4659600,4659600,6.09,-810800,LINTEC Ord Shs,Taiyo Fund Management,sell,1906
8589955386,2008-07-22T00:00:00Z,3867500,3867500,5.05,-792100,LINTEC Ord Shs,Taiyo Fund Management,sell,1820
8589955386,2008-08-08T00:00:00Z,3035300,3035300,3.96,-832200,LINTEC Ord Shs,Taiyo Fund Management,sell,1640
8589955442,2006-06-30T00:00:00Z,657300,657300,5.9,657300,Kuriyama Holding Ord Shs,Tower Investment Management,buy,516
8589955442,2008-10-15T00:00:00Z,298100,298100,2.67,-359200,Kuriyama Holding Ord Shs,Tower Investment Management,sell,250
8589955657,2008-01-15T00:00:00Z,583200,2916e3,5.42,2916e3,Uchida Yoko Ord Shs,Ichigo Asset Management,buy,2090
8589955657,2008-01-16T00:00:00Z,615200,3076e3,5.72,16e4,Uchida Yoko Ord Shs,Ichigo Asset Management,buy,2030
8589955657,2008-02-04T00:00:00Z,725200,3626e3,6.74,55e4,Uchida Yoko Ord Shs,Ichigo Asset Management,buy,2310
8589955657,2008-02-26T00:00:00Z,835200,4176e3,7.76,55e4,Uchida Yoko Ord Shs,Ichigo Asset Management,buy,2200
8589955657,2010-07-15T00:00:00Z,716200,3581e3,6.66,-595e3,Uchida Yoko Ord Shs,Ichigo Asset Management,sell,1435
8589955657,2011-07-29T00:00:00Z,555200,2776e3,5.33,-805e3,Uchida Yoko Ord Shs,Ichigo Asset Management,sell,1050
8589955657,2012-01-31T00:00:00Z,730800,3654e3,7.02,-1898e3,Uchida Yoko Ord Shs,Ichigo Asset Management,sell,1090
8589956590,2006-04-21T00:00:00Z,7818800,7818800,20.88,7818800,Sawada Holdings Ord Shs,Tower Investment Management,buy,1777
